pmid,source_cell,target_cell,factors,factor_type,species,culture_condition,confidence,paper_type,notes,source,evidence_sentence,year,title,is_duplicate,single_tf_flag,target_cell_raw,source_cell_raw,conversion_scope,duplicate_reason,preferred_pmid,duplicate_group_id,validation_recipe_valid,validation_source_cell_valid,validation_target_cell_valid,validation_factors_valid,validation_standalone_recipe,validation_duplicate_status,validation_error_category,validation_action,validation_notes,validation_needs_review,validation_known_issue,validation_resolution,single_tf_status,source_cell_std,target_cell_std,source_cell_broad,target_cell_broad,is_broad_duplicate,broad_duplicate_reason,broad_preferred_pmid,broad_duplicate_group_id,species_inference_method,factor_inference_method,factor_inference_rationale,scope_inference_method,scope_inference_rationale
42029832,astrocyte,induced neural stem cell,"OCT4, RepSox","TF, small_molecule",mouse,,high,research,Repsox enhances Oct4-driven reprogramming via Notch1/Hes1/Smurf2 pathway.,abstract,"In this study, we showed that the reprogramming of astrocytes into iNSCs via a single transcription factor Oct4 is significantly enhanced by continuous treatment with Repsox, a small molecule inhibitor of transforming growth factor-β (TGF-β) signaling.",2026,The Small Chemical Compound Repsox Potentiates Oct4-Driven Astrocyte-to-Neural Stem Cell Reprogramming via Notch1/Hes1/Smurf2 Pathway.,False,False,induced neural stem cell (iNSC),astrocyte,lineage_conversion,,,,,,,,,,,,,,,,,astrocyte,induced neural stem cell,astrocyte,neural stem/progenitor cell,False,,,,deepseek_high,,,,
41539305,,type-1 conventional dendritic cell,not specified,other,,,low,research,Source cell and specific factors not named.,abstract,"We first validated REPROcode by inducing type-1 conventional dendritic cells (cDC1s) with multiplexed sets of 9, 22, and 42 factors.",2026,A combinatorial transcription factor screening platform for immune cell reprogramming.,False,False,type-1 conventional dendritic cell (cDC1),,lineage_conversion,,,,,,,,,,,hide_model_adjudicated,"Model adjudication (high): No source cell or specific factors; multiplex sets not a standalone recipe.; missing: source_cell, species",True,,model_adjudicated_hide,,,type 1 conventional dendritic cell,,type 1 conventional dendritic cell,False,,,,,,,deepseek_medium,"Source cell unspecified but likely non-dendritic; target is distinct cDC1 identity, indicating transdifferentiation."
41539305,,natural killer (NK)-like cell,not specified,other,,,low,research,Source cell and specific factors not named.,abstract,"Finally, we validated REPROcode's discovery power by inducing natural killer (NK)-like cells.",2026,A combinatorial transcription factor screening platform for immune cell reprogramming.,False,False,natural killer (NK)-like cell,,unclear,,,,,,,,,,,hide_model_adjudicated,"Model adjudication (high): No specific factors or source cell; platform validation not a standalone recipe.; missing: source_cell, species",True,,model_adjudicated_hide,,,natural killer (NK)-like cell,,natural killer (NK)-like cell,False,,,,,,,,
40740538,peripheral blood mononuclear cell (PBMC) from type 1 diabetes patient,induced pluripotent stem cell (iPSC),not specified,other,human,,low,research,Reprogramming via episomal vectors; factors not specified.,abstract,T1D-iPSCs were reprogrammed from T1D-PBMCs using an episomal vector-based approach.,2025,Differentiation of patient-specific induced pluripotent stem cells derived from type 1 diabetes peripheral blood mononuclear cells into pancreatic β-like cells.,False,False,induced pluripotent stem cell (iPSC),peripheral blood mononuclear cell (PBMC) from type 1 diabetes patient,classical_reprogramming,,,,,,,,,,,,,,,,,peripheral blood mononuclear cell (PBMC) from type 1 diabetes patient,induced pluripotent stem cell (iPSC),peripheral blood mononuclear cell,induced pluripotent stem cell,True,same_broad_cell_recipe,26398309,broad_recipe_0001,existing,,,,
40740538,type 1 diabetes patient-derived induced pluripotent stem cell (T1D-iPSC),insulin-producing cell (β-cell),"triiodothyronine (T3), vitamin C (Vc), pancreatic duodenal homeobox-1, neurogenin 3 (Ngn3), MAF bZIP transcription factor A (MafA)","small_molecule, small_molecule, TF, TF, TF",human,,high,research,Cells expressed key β-cell markers but were functionally immature; did not modulate insulin release in response to glucose.,abstract,"Differentiation into pancreatic β-cells was optimized using triiodothyronine (T3), vitamin C (Vc), and an adenovirus (M3C) encoding pancreatic duodenal homeobox-1, neurogenin 3 (Ngn3), and MAF bZIP transcription factor A (MafA).",2025,Differentiation of patient-specific induced pluripotent stem cells derived from type 1 diabetes peripheral blood mononuclear cells into pancreatic β-like cells.,False,False,pancreatic β-like cell,type 1 diabetes patient-derived induced pluripotent stem cell (T1D-iPSC),directed_differentiation,,,,,,,,,,,,,,,,,type 1 diabetes patient-derived induced pluripotent stem cell (T1D-iPSC),insulin-producing cell (β-cell),induced pluripotent stem cell,insulin-producing cell,False,,,,existing,,,,
39904845,astrocyte,neuron,"NEUROD1, ASCL1, NGN2, small molecules","TF, TF, TF, small_molecule",human,,medium,review,Reviews TF and small molecule glial-to-neuron conversion for stroke,abstract,"Recent advancements in glial cell reprogramming, including transcription factor-based methods with factors like NeuroD1, Ascl1, and Neurogenin2, as well as small molecule-induced reprogramming and chemical induction, show promise in converting glial cells into functional neurons.",2025,Glial Cell Reprogramming in Ischemic Stroke: A Review of Recent Advancements and Translational Challenges.,False,False,neuron,astrocyte,lineage_conversion,,,,,,,,,,,,,,,,,astrocyte,neuron,astrocyte,neuron,False,,,,title_abstract_evidence,,,,
39575884,mesodermal cell,neuron,ASCL1,TF,mouse,,high,research,Phosphorylation inhibition enhances reprogramming.,abstract,"We find that inhibition of ASCL1 phosphorylation enhances reprogramming of both mesodermal and neuroectodermal cells, while pluripotent cells remain refractory to ASCL1-directed neuronal differentiation.",2024,Phospho-regulation of ASCL1-mediated chromatin opening during cellular reprogramming.,False,True,neuron,mesodermal cell,lineage_conversion,,,,,,,,,,,,,,,,standalone_valid,mesodermal cell,neuron,mesodermal cell,neuron,False,,,,existing,,,,
39575884,neuroectodermal cell,neuron,ASCL1,TF,mouse,,high,research,Phosphorylation inhibition enhances reprogramming.,abstract,"We find that inhibition of ASCL1 phosphorylation enhances reprogramming of both mesodermal and neuroectodermal cells, while pluripotent cells remain refractory to ASCL1-directed neuronal differentiation.",2024,Phospho-regulation of ASCL1-mediated chromatin opening during cellular reprogramming.,False,True,neuron,neuroectodermal cell,lineage_conversion,,,,,,,,,,,,,,,,standalone_valid,neuroectodermal cell,neuron,neuroectodermal cell,neuron,False,,,,existing,,,,
39562637,mouse embryonic fibroblast,endothelial cell,ETV2,TF,mouse,,high,research,Knockdown of Rig1 or Nfκb1 reduces efficiency,abstract,Mouse embryonic fibroblasts (MEFs) harboring an inducible ETV2 expression system were used to overexpress ETV2 and reprogram these somatic cells to the endothelial lineage.,2024,ETV2 transcriptionally activates Rig1 gene expression and promotes reprogramming of the endothelial lineage.,False,True,endothelial cell,mouse embryonic fibroblast (MEF),lineage_conversion,,,,,,,,,,,,,,,,standalone_valid,mouse embryonic fibroblast,endothelial cell,fibroblast,endothelial cell,True,same_broad_cell_recipe,27488544,broad_recipe_0002,existing,,,,
38509259,fibroblast,induced pluripotent stem cell (iPSC),"Oct3/4 (Pou5f1), SOX2, KLF4, Myc","TF, TF, TF, TF",,,high,research,Review of OSKM reprogramming mechanism.,abstract,"A striking discovery in recent decades concerning the transcription factor (TF)-dependent process was the production of induced pluripotent stem cell (iPSCs) from fibroblasts by the exogenous expression of the TF cocktail containing Oct3/4 (Pou5f1), Sox2, Klf4, and Myc, collectively called OSKM.",2024,Molecular Basis of Cell Reprogramming into iPSCs with Exogenous Transcription Factors.,True,False,induced pluripotent stem cell (iPSC),fibroblast,classical_reprogramming,same_standardized_recipe,18287077,recipe_0001,,,,,,,,,missing: species,True,,,,fibroblast,induced pluripotent stem cell (iPSC),fibroblast,induced pluripotent stem cell,True,same_broad_cell_recipe,16904174,broad_recipe_0003,,,,,
