df_index,pmid,source_cell,target_cell,extracted_factors,extracted_factor_type,confidence,reasoning
80,40353415,astrocyte,neuron,"NeuroD1, Ascl1, Brn2, Myt1l, Neurog2",TF,high,"Multiple neurogenic transcription factors are explicitly identified as central to astrocyte-to-neuron conversion, with specific examples of NeuroD1, Ascl1, Neurog2, Brn2, and Myt1l driving AtN reprogramming in various contexts."
510,40818621,non-hepatocyte,hepatocyte-like cell,not specified,mixed,low,"The provided text only contains a reference to supplementary data without any description of actual reprogramming methods, factors, or protocols used for the conversion."
713,35875485,somatic cell,neuron,"I-BET151, VPA, Forskolin, CHIR99021, GO6983, SP600125, ISX9, purmorphamine, dorsomorphin, Repsox, Y-27632",small_molecule,medium,"Multiple small molecules are explicitly named for somatic-to-neuron reprogramming across different screening approaches, but the text describes general methodologies and multiple studies rather than a single specific protocol."
4372,42188405,human Tenon's capsule fibroblast,retinal progenitor-like cell,not specified,other,low,"The provided methods text describes cell culture and tissue collection procedures but does not contain the specific reprogramming factors (transcription factors, small molecules, or miRNAs) used to convert Tenon's capsule fibroblasts to retinal progenitor-like cells; reprogramming details appear to be in sections not included in this excerpt."
4378,42257012,amniotic fluid cell,induced pluripotent stem cell,"OCT4, SOX2, KLF4, MYC, miR-302-367 cluster",mixed,high,"The methods explicitly state that pEP4-E02S-ET2K vector expresses OCT4, SOX2, KLF4, and MYC, while pCEP4-miR-302-367 vector delivers the miR-302-367 microRNA cluster for reprogramming amniotic fluid cells to iPSCs via electroporation."
4396,35254903,astrocyte,induced neural progenitor cell,not specified,other,low,The methods text does not describe specific reprogramming factors used for astrocyte to induced neural progenitor cell conversion; it only references detailed protocols in supplementary materials without explicit factor names.
4462,38124095,macrophage,resolution-phase macrophage,not specified,other,low,"The methods text describes an animal model study using secretome from resolution-phase macrophages but does not identify specific reprogramming factors (transcription factors, small molecules, or miRNAs) used for the conversion."
4488,31270412,fibroblast,human hepatic progenitor-like cell (hHPLC),not specified,other,low,"The methods text describes isolation and culture of fibroblasts, fetal liver cells, and hepatocytes with various media and growth factors, but does not explicitly describe reprogramming factors (TFs, small molecules, miRNAs) used to convert fibroblasts to hepatic progenitor-like cells."
4489,31270412,human hepatic progenitor-like cell (hHPLC),mature human hepatocyte (hiHep),not specified,other,low,"The methods text describes cell isolation, culture conditions, and maintenance protocols but does not specify any reprogramming factors (transcription factors, small molecules, or miRNAs) used to convert hHPLC to mature hepatocytes."
4498,27569063,neonatal fibroblast,induced neural stem cell,not specified,other,low,"The methods describe viral infection and medium conditions but do not explicitly name the specific reprogramming factors (transcription factors, miRNAs, or small molecules) used in the virus for converting fibroblasts to hiNSCs."
4499,27569063,adult adipose-derived stem cell,induced neural stem cell,not specified,other,low,"The methods mention viral infection at MOI 1-2 for reprogramming but do not explicitly name the specific transgenes, transcription factors, or other reprogramming factors delivered by the concentrated virus."
4501,26788068,mouse fibroblast,neural stem cell,not specified,small_molecule,low,The methods text mentions 'small molecule-induced neural stem (SMINS) cells' protocol but does not explicitly name the specific small molecules used in this conversion.
4519,41477840,stem cell-derived human glial cells,parvalbumin chandelier interneuron,not specified,other,low,"The methods text describes hGPC derivation from hESCs and mentions differentiation 'according to established protocols' but does not explicitly name specific reprogramming factors (TFs, small molecules, miRNAs) used for the glial-to-interneuron conversion."
4545,42008439,bone marrow mesenchymal stem cell,neural/glial-like cells,not specified,other,low,"Methods describe culture in 'differentiation medium containing growth factors' for neural/glial transdifferentiation but do not explicitly name specific reprogramming factors, transcription factors, small molecules, or miRNAs used."
4560,39717465,vascular smooth muscle cell,fibrochondrocyte (meniscal fibrocartilage),not specified,other,low,"The methods text describes scaffold material composition (PU/PCL) and 3D printing fabrication techniques but contains no information about reprogramming factors (transcription factors, small molecules, miRNAs) used to convert vascular smooth muscle cells to fibrochondrocytes."
4574,38072050,DLD1 and HT29 colorectal cancer cells,induced pluripotent stem cells,not specified,other,low,"The provided methods text describes only the culture conditions for CRC cell lines but does not include any reprogramming protocol, specific reprogramming factors, or details about iPSC generation."
4575,38072050,colorectal cancer cell-derived induced pluripotent stem cells,cardiomyocyte-like cells,not specified,other,low,"The provided methods text only describes colorectal cancer cell culture conditions and does not contain any information about reprogramming factors, protocols, or the conversion process to cardiomyocyte-like cells."
4576,38072050,colorectal cancer cell-derived induced pluripotent stem cells,neuron-like cells,not specified,other,low,The methods text describes cell culture conditions for CRC lines but does not describe the reprogramming factors or protocol used to generate iPSCs from cancer cells or their subsequent differentiation into neuron-like cells.
4577,38072050,colorectal cancer cell-derived induced pluripotent stem cells,adipocyte-like cells,not specified,other,low,"The provided methods text describes only the initial culture conditions for CRC cell lines (DLD1, HT29) but contains no information about reprogramming factors used to generate iPSCs or differentiate them into adipocyte-like cells."
4592,34983631,mouse female germline stem cell,sperm,not specified,other,low,"The methods text describes mouse sources and animal care procedures but does not identify any specific reprogramming factors (transcription factors, small molecules, miRNAs) used for converting germline stem cells to sperm."
4613,41202817,human gastric organoid cells,gastric insulin-secreting cell (GINS),not specified,other,low,"The provided methods text describes only animal model sourcing and institutional approvals, with no mention of specific reprogramming factors, transcription factors, small molecules, or miRNAs used for converting gastric organoid cells to gastric insulin-secreting cells."
4619,33737730,dermal fibroblast,myogenic stem cell (Pax7+),not specified,other,low,"Methods text describes polymer and materials used for nanoparticle preparation but does not specify reprogramming factors, transcription factors, small molecules, or miRNAs used for dermal fibroblast to myogenic stem cell conversion."
4620,33737730,skeletal muscle stem cell,myogenic stem cell (Pax7+),not specified,other,low,"Methods text describes polymer materials and reagent sources but does not identify any specific reprogramming factors (transcription factors, small molecules, miRNAs) used for skeletal muscle stem cell to myogenic stem cell conversion."
4621,33737730,resident satellite cell,myogenic stem cell (Pax7+),not specified,other,low,"The methods text describes polymer materials and reagent sources but does not identify any specific reprogramming factors (transcription factors, small molecules, or miRNAs) used to convert satellite cells to myogenic stem cells."
4622,33257861,human pluripotent stem cell,neuron,not specified,other,low,The methods text describes a general transcription factor database construction methodology rather than specific factors used for hPSC-to-neuron reprogramming in this study.
4623,33257861,human pluripotent stem cell,fibroblast,not specified,other,low,"This text describes the curation of a transcription factor database (Human TFome) but does not identify specific factors used for the hPSC-to-fibroblast conversion; it is a methods section about TF dataset construction, not reprogramming methodology."
4624,33257861,human pluripotent stem cell,oligodendrocyte,not specified,TF,low,The text describes a general TF database/catalog construction methodology but does not identify specific reprogramming factors used for hPSC-to-oligodendrocyte conversion.
4625,33257861,human pluripotent stem cell,vascular endothelial-like cell,not specified,other,low,The text describes a computational TF database compilation methodology but does not specify which actual factors were used to reprogram human pluripotent stem cells to vascular endothelial-like cells.
4640,36829201,human induced pluripotent stem cell-derived expandable limb-bud mesenchymal cell,chondrocyte,not specified,other,low,"The methods text describes a chondrogenic induction protocol (2-DCI) but does not specify the actual reprogramming factors, cytokines, small molecules, or other specific agents used."
4649,37509281,amniotic membrane-derived mesenchymal stem cell,induced pluripotent stem cell,not specified,other,low,The methods text describes isolation and culture of amniotic membrane-derived MSCs but does not provide specific reprogramming factors or protocols for converting these cells to iPSCs.
4650,37760875,induced pluripotent stem cell,skeletal muscle cell,not specified,other,low,"The text describes iPSC generation from fibroblasts using Yamanaka factors via Sendai viruses, but does not provide specific factors or methodology for the iPSC-to-skeletal muscle differentiation."
4653,36959367,human induced pluripotent stem cell,fibroblast,not specified,other,low,"The methods text provided contains only ethical approvals and regulatory information with no description of specific reprogramming factors, protocols, or conversion methods used to generate fibroblasts from iPSCs."
4659,36735215,human induced pluripotent stem cell,oocyte-like cell,"BMP4, LIF, SCF, EGF, Y-27632, FSH, hCG, PMSG",mixed,medium,"The protocol uses growth factors and hormones across three differentiation steps (BMP4/LIF/SCF/EGF/Y-27632 for iPGC formation, then FSH/hCG/PMSG for OLC maturation), but relies primarily on culture media composition rather than transgenic factor overexpression, making this a directed differentiation rather than classical reprogramming approach."
4663,35356976,human induced pluripotent stem cell,spiral ganglion neuron-like cell,not specified,mixed,low,"The provided text only describes hiPSC maintenance and culture conditions, not the specific reprogramming factors or differentiation protocol used to generate spiral ganglion neuron-like cells."
4677,35109922,human induced pluripotent stem cell,endothelial cell,not specified,other,low,"The methods text describes HLA modification via CRISPR/Cas9 and lentiviral transfer but does not explicitly state the specific reprogramming factors (transcription factors, small molecules, or signaling molecules) used to differentiate iPSCs into endothelial cells."
4682,36424392,human-induced pluripotent stem cell,midbrain dopaminergic neuron,not specified,other,low,"The methods text describes hiPSC maintenance and generation of isogenic lines via CRISPR/Cas9 editing, but does not explicitly detail the specific reprogramming factors (TFs, small molecules, miRNAs) used to differentiate hiPSCs into midbrain dopaminergic neurons."
4686,35076017,human induced pluripotent stem cell,skeletal muscle myoblast,not specified,other,low,"The methods describe iPSC generation from fibroblasts and myoblasts using CytoTune-iPS Sendai Kit, but the conversion from iPSC to skeletal muscle myoblast uses a commercial skeletal muscle differentiation kit (Amsbio/Genea Biocells) without naming specific reprogramming factors or differentiation molecules."
4696,35954266,peripheral blood mononuclear cell,induced pluripotent stem cell,not specified,other,low,"The methods text describes COPD patient selection and downstream differentiation of hiPSCs into bronchial epithelium, but does not provide specific reprogramming factors used to generate iPSCs from peripheral blood mononuclear cells."
4701,35030321,human fibroblast,human retinal pigment epithelium-like cell,not specified,other,low,"The methods section describes fibroblast culture conditions and passage protocols but does not explicitly name any reprogramming factors (transcription factors, small molecules, or miRNAs) used for the fibroblast-to-RPE conversion."
4705,35341051,human bone marrow mesenchymal stem cell,neuronal stem cell-like cell,not specified,small_molecule,low,"The text mentions cells were cultured in media containing small molecules for neural differentiation but does not name any specific factors, transcription factors, or small molecules used."
4750,34222247,mouse embryonic fibroblast,inner ear hair cell-like cell,not specified,other,low,The methods text describes MEF isolation and characterization but does not explicitly state the reprogramming factors used for transdifferentiation to inner ear hair cell-like cells; the actual transdifferentiation protocol is referenced as being in supplementary material.
4752,34350246,urine cell,induced pluripotent stem cell,not specified,TF,low,"The methods describe generating iPSCs from urine cells but do not explicitly name the specific reprogramming factors (transcription factors, small molecules, or other reagents) used for the UC-to-iPSC conversion; the text focuses on downstream NSC differentiation and GAS5 manipulation."
4763,34475915,Duchenne muscular dystrophy patient-specific induced pluripotent stem cell,Duchenne muscular dystrophy cardiomyocyte,not specified,other,low,"The methods describe use of a commercial PSC Cardiomyocyte Differentiation Kit (Gibco) with undefined growth factors and media components, but no specific reprogramming factors (transcription factors, small molecules, or miRNAs) are explicitly named for the iPSC-to-cardiomyocyte conversion."
4770,33524672,fibroblast cells from a 34-year-old donor with microphthalmia and aniridia,human induced pluripotent stem cell (hiPSC),not specified,other,low,"Methods text describes fibroblast isolation and culture but does not specify any reprogramming factors (transcription factors, small molecules, miRNAs, or vectors) used for hiPSC generation."
4775,39706179,induced pluripotent stem cell,spinal lower motor neuron,not specified,other,low,The provided methods text contains only ethical approval information and does not describe the specific reprogramming factors or differentiation protocol used to convert iPSCs to spinal lower motor neurons.
4781,40442082,human induced pluripotent stem cell,islet,not specified,other,low,"The methods text provided describes ethical approvals, experimental design, and statistical analysis but does not contain the actual differentiation protocol or specific reprogramming factors used for iPSC-to-islet conversion."
4789,38354648,skin fibroblast,induced pluripotent stem cell,"OCT4, SOX2, c-MYC, KLF4",TF,high,The methods explicitly state that the CytoTune-iPS 2.0 Sendai kit induced transient expression of these four specific reprogramming factors to convert fibroblasts to iPSCs.
4793,38771878,human pluripotent stem cell,medium spiny neuron,not specified,other,low,"The methods text describes organoid generation and fusion but does not explicitly name specific reprogramming factors (transcription factors, small molecules, or miRNAs) used for medium spiny neuron differentiation; only generic reference to 'growth factors' is provided."
4795,38681862,human iPSC-derived endothelial cell,liver sinusoidal endothelial cell,not specified,other,low,"The methods describe transplantation of pre-existing iPSC-derived endothelial cells into mouse livers and characterization of resulting changes, but do not specify reprogramming factors used to convert iPSC-derived ECs to LSECs; culture supplements (VEGF-A, FGF2, Y-27832, A83-01, SB-431542) are used for LSEC maintenance, not the conversion protocol."
4807,37380102,reactive astrocyte,neuronal cell,not specified,small_molecule,low,"The methods text mentions that small molecules are used for reprogramming astrocytes into neuronal cells, but does not name any specific small molecule factors or compounds."
4812,34493831,human induced pluripotent stem cell,induced dopaminergic neuron,not specified,other,low,The methods text describes hiPSC maintenance and characterization but does not specify the reprogramming factors used to convert hiPSCs to induced dopaminergic neurons; only the initial fibroblast-to-hiPSC conversion (OKSM via Sendai virus) is detailed.
